Postal Code,Planning Region,Planning Area,LONGITUDE,LATITUDE
309426,CENTRAL REGION,NOVENA,103.837814972835,1.3161774178961398
428122,CENTRAL REGION,GEYLANG,103.90156863400101,1.3130727428654598
449293,EAST REGION,BEDOK,103.933490235192,1.3094544233391499
591301,CENTRAL REGION,BUKIT TIMAH,103.77404042698,1.31936497501772
487041,EAST REGION,BEDOK,103.947853624447,1.33197403225024
528828,EAST REGION,TAMPINES,103.933253522348,1.35845019253569
126827,WEST REGION,CLEMENTI,103.767144418409,1.2949342841138
118174,CENTRAL REGION,QUEENSTOWN,103.790319043999,1.2814790444401398
449291,EAST REGION,BEDOK,103.93208244673201,1.30950624373898
528790,EAST REGION,TAMPINES,103.961766390754,1.34866089340231
588376,CENTRAL REGION,BUKIT TIMAH,103.78137596514401,1.3382224855350802
129198,WEST REGION,CLEMENTI,103.75612658135701,1.3242771231111399
600123,WEST REGION,JURONG EAST,103.736990741299,1.33456603399473
689098,WEST REGION,CHOA CHU KANG,103.750978361225,1.3981992228113003
098639,CENTRAL REGION,BUKIT MERAH,103.816459732138,1.26713783937444
128799,WEST REGION,CLEMENTI,103.760502806647,1.31754401035025
080107,CENTRAL REGION,BUKIT MERAH,103.834917864208,1.27359495858443
127448,WEST REGION,CLEMENTI,103.767655040884,1.2945484926916102
289854,CENTRAL REGION,BUKIT TIMAH,103.808930802999,1.33547154140136
289847,CENTRAL REGION,BUKIT TIMAH,103.80944240544201,1.33487195290402
127447,WEST REGION,CLEMENTI,103.767532644749,1.29431929328039
575569,CENTRAL REGION,BISHAN,103.831893925075,1.36553438753837
098528,CENTRAL REGION,SOUTHERN ISLANDS,103.842511120502,1.24374486501866
126810,WEST REGION,CLEMENTI,103.767536280823,1.2968140340696999
129196,WEST REGION,CLEMENTI,103.756223284563,1.32383964190309
126815,WEST REGION,CLEMENTI,103.767433830485,1.29562418408499
098530,CENTRAL REGION,SOUTHERN ISLANDS,103.84196474872299,1.24323424650196
399938,CENTRAL REGION,GEYLANG,103.88705800836,1.30635916368283
098534,CENTRAL REGION,SOUTHERN ISLANDS,103.842176333184,1.24451555488815
126817,WEST REGION,CLEMENTI,103.767520910781,1.29650384374549
399937,CENTRAL REGION,GEYLANG,103.88705800836,1.30635916368283
098451,CENTRAL REGION,SOUTHERN ISLANDS,103.843545693243,1.24528894721108
545653,NORTH EAST REGION,HOUGANG,103.875828348014,1.36652661429401
598008,CENTRAL REGION,BUKIT TIMAH,103.77021351448799,1.33828489151625
399940,CENTRAL REGION,GEYLANG,103.88705800836,1.30635916368283
126819,WEST REGION,CLEMENTI,103.76819367598,1.29673734659029
126818,WEST REGION,CLEMENTI,103.768157246304,1.29646028970971
018980,CENTRAL REGION,DOWNTOWN CORE,103.85498720377399,1.27962579891799
098644,CENTRAL REGION,BUKIT MERAH,103.815976965984,1.26589364964807
198784,CENTRAL REGION,KALLANG,103.86430845927099,1.30631185238016
199588,CENTRAL REGION,DOWNTOWN CORE,103.865284424819,1.30285776289788
588378,CENTRAL REGION,BUKIT TIMAH,103.781770832092,1.3385283919605702
098532,CENTRAL REGION,SOUTHERN ISLANDS,103.84196474872299,1.2432342467756898
399939,CENTRAL REGION,GEYLANG,103.88705800836,1.30635916368283
266621,CENTRAL REGION,BUKIT TIMAH,103.812522188467,1.32179079194777
689102,WEST REGION,CHOA CHU KANG,103.750957756741,1.3985797083213
689101,WEST REGION,CHOA CHU KANG,103.75053182114901,1.3987473844948302
689106,WEST REGION,CHOA CHU KANG,103.75054725572201,1.39928681294388
689104,WEST REGION,CHOA CHU KANG,103.751450526881,1.39902704753214
689105,WEST REGION,CHOA CHU KANG,103.750990269246,1.3991327002743401
098327,CENTRAL REGION,SOUTHERN ISLANDS,103.839164641252,1.24297424636053
399936,CENTRAL REGION,GEYLANG,103.88708549006,1.30637270876178
573973,CENTRAL REGION,BISHAN,103.845377575704,1.35924248632998
579732,CENTRAL REGION,TOA PAYOH,103.840987532461,1.3399204833075602
648333,WEST REGION,JURONG WEST,103.705740339395,1.33923531461314
098329,CENTRAL REGION,SOUTHERN ISLANDS,103.83981225853,1.24420173253825
648337,WEST REGION,JURONG WEST,103.704726254118,1.3388538359736002
573975,CENTRAL REGION,BISHAN,103.846306946336,1.35995510910579
098309,CENTRAL REGION,SOUTHERN ISLANDS,103.838252811796,1.23994854690878
079624,CENTRAL REGION,DOWNTOWN CORE,103.846025087372,1.27426245685334
098308,CENTRAL REGION,SOUTHERN ISLANDS,103.83748719431999,1.23933662714889
544991,NORTH EAST REGION,SENGKANG,103.893744111206,1.38048219725232
648336,WEST REGION,JURONG WEST,103.70499222393299,1.33895780336536
737901,NORTH REGION,WOODLANDS,103.79768497148301,1.43198744501131
648340,WEST REGION,JURONG WEST,103.704956221133,1.3397857037263703
127449,WEST REGION,CLEMENTI,103.767756145082,1.29477440976065
648335,WEST REGION,JURONG WEST,103.705246911621,1.33905816316758
648338,WEST REGION,JURONG WEST,103.70445586062401,1.33957317487385
535193,NORTH EAST REGION,HOUGANG,103.891985875555,1.36074531809769
618646,WEST REGION,JURONG EAST,103.725516755516,1.33504830548194
238621,CENTRAL REGION,RIVER VALLEY,103.841405411908,1.2984173378933601
579734,CENTRAL REGION,TOA PAYOH,103.84217679317499,1.3404661072335602
648342,WEST REGION,JURONG WEST,103.705497146299,1.3399716735562601
128800,WEST REGION,CLEMENTI,103.760587960969,1.3176537900806498
591201,CENTRAL REGION,BUKIT TIMAH,103.77534751648399,1.31848287822769
648334,WEST REGION,JURONG WEST,103.705497422244,1.3391498673131002
597001,CENTRAL REGION,BUKIT TIMAH,103.775776183256,1.3182172428613002
600118,WEST REGION,JURONG EAST,103.73542768420401,1.3369684728578999
239343,CENTRAL REGION,RIVER VALLEY,103.83957145176399,1.29348599907922
737876,NORTH REGION,WOODLANDS,103.78580140842399,1.42896869000707
737875,NORTH REGION,WOODLANDS,103.786347768345,1.4290131078627601
098624,CENTRAL REGION,SOUTHERN ISLANDS,103.845998682514,1.24935967284367
648343,WEST REGION,JURONG WEST,103.705755756385,1.3400539704807701
449289,EAST REGION,BEDOK,103.930753958495,1.30958127085336
737874,NORTH REGION,WOODLANDS,103.786304785772,1.4294460758585
127335,WEST REGION,CLEMENTI,103.768414039919,1.29420347897605
098533,CENTRAL REGION,SOUTHERN ISLANDS,103.84205100022699,1.24400730327816
307467,CENTRAL REGION,NOVENA,103.845271738384,1.31960020004528
544918,NORTH EAST REGION,HOUGANG,103.88525140239,1.36107808305135
098531,CENTRAL REGION,SOUTHERN ISLANDS,103.84196474872299,1.2432342467756898
544896,NORTH EAST REGION,HOUGANG,103.884374327957,1.36093905824715
544917,NORTH EAST REGION,HOUGANG,103.885005489535,1.3613158720614198
307468,CENTRAL REGION,NOVENA,103.84505620210399,1.31943667027952
544895,NORTH EAST REGION,HOUGANG,103.884995141998,1.36084954693143
098527,CENTRAL REGION,SOUTHERN ISLANDS,103.842511120502,1.24374486501866
126816,WEST REGION,CLEMENTI,103.76752812523,1.29598185707546
544916,NORTH EAST REGION,HOUGANG,103.885484092109,1.3612426327104101
068803,CENTRAL REGION,DOWNTOWN CORE,103.850552623612,1.2792949135943
648339,WEST REGION,JURONG WEST,103.704714018501,1.3396834815263001
069047,CENTRAL REGION,DOWNTOWN CORE,103.84732957914801,1.2794001428861699
544915,NORTH EAST REGION,HOUGANG,103.88536375204399,1.36156729111648
519938,EAST REGION,PASIR RIS,103.94163737409,1.3769571451996
596001,CENTRAL REGION,BUKIT TIMAH,103.776057371128,1.3183780520846
648341,WEST REGION,JURONG WEST,103.705260058156,1.3398948219982298
519944,EAST REGION,PASIR RIS,103.941602277158,1.3774478344456798
519942,EAST REGION,PASIR RIS,103.94209037443399,1.37722899730584
098629,CENTRAL REGION,SOUTHERN ISLANDS,103.84631413492399,1.24918800478633
737873,NORTH REGION,WOODLANDS,103.78583982481899,1.42945729337222
518208,EAST REGION,PASIR RIS,103.943602727992,1.3729148417952999
518205,EAST REGION,PASIR RIS,103.94245909438601,1.3730570336652699
098628,CENTRAL REGION,SOUTHERN ISLANDS,103.84631413492399,1.24918800478633
519943,EAST REGION,PASIR RIS,103.94189158301799,1.3773795800071102
648332,WEST REGION,JURONG WEST,103.705987854084,1.33933029403443
449294,EAST REGION,BEDOK,103.933865292513,1.31002700197154
319582,CENTRAL REGION,TOA PAYOH,103.846559772458,1.3378387048449298
319581,CENTRAL REGION,TOA PAYOH,103.84653849357599,1.33742074109902
518210,EAST REGION,PASIR RIS,103.94430920065001,1.37280149385449
519939,EAST REGION,PASIR RIS,103.941860092845,1.3768177978630098
544894,NORTH EAST REGION,HOUGANG,103.884664228255,1.3611968773701297
737899,NORTH REGION,WOODLANDS,103.798097837257,1.43185152949339
518216,EAST REGION,PASIR RIS,103.943417527664,1.37233081948328
098529,CENTRAL REGION,SOUTHERN ISLANDS,103.842511120502,1.24374486501866
119006,CENTRAL REGION,QUEENSTOWN,103.79344953948299,1.28736144341585
098395,CENTRAL REGION,SOUTHERN ISLANDS,103.836755078816,1.24244074668808
098370,CENTRAL REGION,SOUTHERN ISLANDS,103.84223130902001,1.2481278672912
544897,NORTH EAST REGION,HOUGANG,103.88469543801001,1.36057979358352
518219,EAST REGION,PASIR RIS,103.942726006017,1.37258148702294
518206,EAST REGION,PASIR RIS,103.942654013489,1.37307907959146
519941,EAST REGION,PASIR RIS,103.942367369104,1.3771249342628402
308414,CENTRAL REGION,NOVENA,103.841922909924,1.31404425678498
098412,CENTRAL REGION,BUKIT MERAH,103.81019480691201,1.26603230310338
098418,CENTRAL REGION,BUKIT MERAH,103.81099528789301,1.26724954844891
237973,CENTRAL REGION,ORCHARD,103.831707804361,1.30383691559687
591101,CENTRAL REGION,BUKIT TIMAH,103.774834063907,1.31825631309831
098414,CENTRAL REGION,BUKIT MERAH,103.809838999267,1.2667567576418701
259404,CENTRAL REGION,NEWTON,103.83227855413,1.31050057428434
098408,CENTRAL REGION,BUKIT MERAH,103.81195258327,1.2671605897812601
737897,NORTH REGION,WOODLANDS,103.79794676826799,1.4323447810453303
319583,CENTRAL REGION,TOA PAYOH,103.846775797512,1.33809505753531
594001,CENTRAL REGION,BUKIT TIMAH,103.77519645176599,1.3174683311037099
518215,EAST REGION,PASIR RIS,103.943819783648,1.3723426008729398
357776,CENTRAL REGION,TOA PAYOH,103.86835213611,1.33003597946809
098368,CENTRAL REGION,SOUTHERN ISLANDS,103.841532989611,1.24913046221296
098648,CENTRAL REGION,BUKIT MERAH,103.815079590922,1.2651194694416201
357774,CENTRAL REGION,TOA PAYOH,103.868352136654,1.33003597946808
098417,CENTRAL REGION,BUKIT MERAH,103.81063691501801,1.2667953422696399
518207,EAST REGION,PASIR RIS,103.943306598164,1.3730412111805201
098404,CENTRAL REGION,BUKIT MERAH,103.813671410135,1.26742739055301
737898,NORTH REGION,WOODLANDS,103.798227343517,1.4323152447087
098416,CENTRAL REGION,BUKIT MERAH,103.810636914746,1.2667953422696399
098406,CENTRAL REGION,BUKIT MERAH,103.812751836052,1.26697450436016
737900,NORTH REGION,WOODLANDS,103.79792073912701,1.43188746099951
518217,EAST REGION,PASIR RIS,103.943018215601,1.37232549277134
098410,CENTRAL REGION,BUKIT MERAH,103.811177246714,1.2668647692336001
737892,NORTH REGION,WOODLANDS,103.79745091653999,1.43219083618145
737894,NORTH REGION,WOODLANDS,103.797381674486,1.4326485557452802
737893,NORTH REGION,WOODLANDS,103.797483874954,1.43240512145029
479245,EAST REGION,BEDOK,103.92990952224301,1.33822676719573
737896,NORTH REGION,WOODLANDS,103.79791783454901,1.43270488189982
737895,NORTH REGION,WOODLANDS,103.797736431817,1.4326577732431698
689865,WEST REGION,CHOA CHU KANG,103.748147275205,1.38372503220851
357900,CENTRAL REGION,TOA PAYOH,103.869688700669,1.3359179646313601
098415,CENTRAL REGION,BUKIT MERAH,103.809838998995,1.2667567576418601
689863,WEST REGION,CHOA CHU KANG,103.74780508393299,1.3837918513340903
518209,EAST REGION,PASIR RIS,103.944122454706,1.37275956404085
689862,WEST REGION,CHOA CHU KANG,103.747481754278,1.3838493195726
479251,EAST REGION,BEDOK,103.93139040423999,1.33750931676912
528716,EAST REGION,TAMPINES,103.95685055483801,1.34031496161095
479253,EAST REGION,BEDOK,103.931169648094,1.3371885888760802
098535,CENTRAL REGION,SOUTHERN ISLANDS,103.842518469111,1.2444030379081201
529882,EAST REGION,TAMPINES,103.956092310133,1.3411205048069
098618,CENTRAL REGION,SOUTHERN ISLANDS,103.846319306506,1.25004849376758
098369,CENTRAL REGION,SOUTHERN ISLANDS,103.842606434601,1.2477784259778602
309430,CENTRAL REGION,NOVENA,103.836986901789,1.31732798893647
098419,CENTRAL REGION,BUKIT MERAH,103.811002300666,1.26714499289003
465538,EAST REGION,BEDOK,103.946976201784,1.3280051884210802
207877,CENTRAL REGION,KALLANG,103.858599024436,1.3113568841101002
098413,CENTRAL REGION,BUKIT MERAH,103.810316696338,1.26557373647427
769136,NORTH REGION,YISHUN,103.83141879843001,1.4106042460020198
158749,CENTRAL REGION,BUKIT MERAH,103.817000265618,1.29095103716645
529883,EAST REGION,TAMPINES,103.955856050702,1.34103993404482
769135,NORTH REGION,YISHUN,103.831081220698,1.4107578721760499
528714,EAST REGION,TAMPINES,103.956574655748,1.34071552719957
769134,NORTH REGION,YISHUN,103.830717569614,1.4107755541070903
648320,WEST REGION,JURONG WEST,103.718601989018,1.3428024873496003
509051,EAST REGION,PASIR RIS,103.957228197834,1.37850903821221
689864,WEST REGION,CHOA CHU KANG,103.74795057535299,1.3835601710645902
479250,EAST REGION,BEDOK,103.930957548361,1.33780921329804
528715,EAST REGION,TAMPINES,103.95677696690001,1.34052918054906
518214,EAST REGION,PASIR RIS,103.943433997804,1.37178755504668
769139,NORTH REGION,YISHUN,103.83251324502599,1.41104826332535
509050,EAST REGION,PASIR RIS,103.957488575516,1.37846253088292
518192,EAST REGION,PASIR RIS,103.944312687761,1.37095544488119
158748,CENTRAL REGION,BUKIT MERAH,103.81700011525801,1.29094473172582
479248,EAST REGION,BEDOK,103.929904834366,1.33736132890799
769138,NORTH REGION,YISHUN,103.832147431721,1.4108999016643
479254,EAST REGION,BEDOK,103.930909164925,1.3371789814435602
769137,NORTH REGION,YISHUN,103.831735166688,1.4106489615803102
518213,EAST REGION,PASIR RIS,103.94384098523399,1.37184506128881
528721,EAST REGION,TAMPINES,103.956299304978,1.33991875932898
465517,EAST REGION,BEDOK,103.94634958029499,1.32844155799058
138638,CENTRAL REGION,QUEENSTOWN,103.78834737032,1.3053512123807
479246,EAST REGION,BEDOK,103.929654733832,1.33773555332352
509049,EAST REGION,PASIR RIS,103.957248234037,1.3781674038098801
528719,EAST REGION,TAMPINES,103.95680550478599,1.33977565193774
529884,EAST REGION,TAMPINES,103.955765092351,1.34085887211736
648317,WEST REGION,JURONG WEST,103.71786512914801,1.34309259667017
689866,WEST REGION,CHOA CHU KANG,103.748289484982,1.38394088472581
769133,NORTH REGION,YISHUN,103.83047962817699,1.41049618383372
098630,CENTRAL REGION,SOUTHERN ISLANDS,103.84631638506501,1.24922154802831
528718,EAST REGION,TAMPINES,103.95704282440501,1.33987508545312
567752,NORTH EAST REGION,ANG MO KIO,103.848386313887,1.37030430318139
768124,NORTH REGION,SEMBAWANG,103.825437324844,1.4444795494485199
518211,EAST REGION,PASIR RIS,103.944466035434,1.3714701111373002
529780,EAST REGION,TAMPINES,103.926766346112,1.3488015857036102
679518,WEST REGION,BUKIT PANJANG,103.777119972532,1.36979470219304
528685,EAST REGION,TAMPINES,103.92558950228,1.34859310445471
528689,EAST REGION,TAMPINES,103.926227916187,1.34954423894045
528686,EAST REGION,TAMPINES,103.925767225328,1.3488040200770601
648318,WEST REGION,JURONG WEST,103.717866134476,1.34308454296513
528684,EAST REGION,TAMPINES,103.92607824009701,1.34811977321598
528692,EAST REGION,TAMPINES,103.926962212323,1.34926983619191
528690,EAST REGION,TAMPINES,103.92652131419099,1.34956805934733
439893,CENTRAL REGION,MARINE PARADE,103.900988897666,1.3028076882440602
109700,CENTRAL REGION,BUKIT MERAH,103.803662042557,1.2822176964872198
679520,WEST REGION,BUKIT PANJANG,103.776721933468,1.37018790157641
737796,NORTH REGION,WOODLANDS,103.78569015344999,1.42723729858592
737795,NORTH REGION,WOODLANDS,103.785345001227,1.4273419018386
737797,NORTH REGION,WOODLANDS,103.78605033241301,1.42728727458396
109698,CENTRAL REGION,BUKIT MERAH,103.803662042557,1.2822176964872198
109693,CENTRAL REGION,BUKIT MERAH,103.80302375582501,1.2822013542200499
109691,CENTRAL REGION,BUKIT MERAH,103.80302375582501,1.2822013542200499
129197,WEST REGION,CLEMENTI,103.755636135389,1.32413451294355
109687,CENTRAL REGION,BUKIT MERAH,103.80302375582501,1.2822013542200499
737783,NORTH REGION,WOODLANDS,103.785732891763,1.42868583712324
768130,NORTH REGION,SEMBAWANG,103.824164577679,1.4445368598784099
399941,CENTRAL REGION,GEYLANG,103.88808785836399,1.30665815996221
098367,CENTRAL REGION,SOUTHERN ISLANDS,103.84153298933902,1.2491304624867
109685,CENTRAL REGION,BUKIT MERAH,103.80302375582501,1.2822013542200499
737794,NORTH REGION,WOODLANDS,103.78530338263701,1.42762491365061
109697,CENTRAL REGION,BUKIT MERAH,103.803662042557,1.2822176964872198
018965,CENTRAL REGION,DOWNTOWN CORE,103.852143277672,1.28034497999591
679517,WEST REGION,BUKIT PANJANG,103.776039105676,1.36984201740928
399948,CENTRAL REGION,GEYLANG,103.88963091571199,1.30697673506819
439897,CENTRAL REGION,MARINE PARADE,103.90197413029699,1.3033651448007901
109702,CENTRAL REGION,BUKIT MERAH,103.803662042557,1.2822176964872198
465515,EAST REGION,BEDOK,103.946478827008,1.3278026105411
109701,CENTRAL REGION,BUKIT MERAH,103.803662042557,1.2822176964872198
399944,CENTRAL REGION,GEYLANG,103.888537197136,1.30647833742134
737791,NORTH REGION,WOODLANDS,103.78621832494801,1.42793936414291
648316,WEST REGION,JURONG WEST,103.71769336800101,1.34245875579963
679521,WEST REGION,BUKIT PANJANG,103.777207678431,1.37047183739522
439894,CENTRAL REGION,MARINE PARADE,103.90136676213001,1.30299848317332
737787,NORTH REGION,WOODLANDS,103.78596188503201,1.4283548244387
554479,NORTH EAST REGION,SERANGOON,103.865369039913,1.3503160559271101
554477,NORTH EAST REGION,SERANGOON,103.865462244407,1.35097219010642
554478,NORTH EAST REGION,SERANGOON,103.865572074429,1.35062188205802
357902,CENTRAL REGION,TOA PAYOH,103.869280979013,1.3359216115885502
554475,NORTH EAST REGION,SERANGOON,103.865117387148,1.35114174369395
465518,EAST REGION,BEDOK,103.94667646494499,1.32857692357306
518191,EAST REGION,PASIR RIS,103.943892550961,1.3709299952898202
109690,CENTRAL REGION,BUKIT MERAH,103.80302375582501,1.2822013542200499
109686,CENTRAL REGION,BUKIT MERAH,103.80302375582501,1.2822013542200499
109704,CENTRAL REGION,BUKIT MERAH,103.803662042557,1.2822176964872198
648322,WEST REGION,JURONG WEST,103.719303577001,1.34335239967805
828818,NORTH EAST REGION,PUNGGOL,103.904932274576,1.4011746015987598
109694,CENTRAL REGION,BUKIT MERAH,103.803662042285,1.2822176964872098
768132,NORTH REGION,SEMBAWANG,103.82449006928499,1.4448831557055102
109695,CENTRAL REGION,BUKIT MERAH,103.803662042557,1.2822176964872198
768129,NORTH REGION,SEMBAWANG,103.82425153527299,1.44416697459834
737786,NORTH REGION,WOODLANDS,103.786254729558,1.4283737747063798
479249,EAST REGION,BEDOK,103.93027457394899,1.3370010677433501
109705,CENTRAL REGION,BUKIT MERAH,103.803662042557,1.2822176964872198
737784,NORTH REGION,WOODLANDS,103.786149789717,1.42868591612542
109703,CENTRAL REGION,BUKIT MERAH,103.803662042557,1.2822176964872198
109696,CENTRAL REGION,BUKIT MERAH,103.803662042557,1.2822176964872198
678272,WEST REGION,BUKIT PANJANG,103.776059657834,1.36877358881315
828817,NORTH EAST REGION,PUNGGOL,103.904338396376,1.40148828471593
357903,CENTRAL REGION,TOA PAYOH,103.869750474839,1.3364082545672
534077,NORTH EAST REGION,HOUGANG,103.88125621124,1.3524321736040499
529901,EAST REGION,TAMPINES,103.95375802672899,1.3415194987191599
529782,EAST REGION,TAMPINES,103.926272632348,1.34793724474343
534076,NORTH EAST REGION,HOUGANG,103.88108848110501,1.35230889042426
768131,NORTH REGION,SEMBAWANG,103.82435602565901,1.4447110271557
538752,NORTH EAST REGION,HOUGANG,103.88124208119301,1.35139044327878
768134,NORTH REGION,SEMBAWANG,103.824796113339,1.44522280819397
533873,NORTH EAST REGION,SERANGOON,103.882765734508,1.3425631439591201
109684,CENTRAL REGION,BUKIT MERAH,103.80305297171302,1.2819840179635
737788,NORTH REGION,WOODLANDS,103.785587282584,1.4283535484349499
648305,WEST REGION,JURONG WEST,103.719009651994,1.3430039675550902
678273,WEST REGION,BUKIT PANJANG,103.77635905026699,1.36876244877254
554476,NORTH EAST REGION,SERANGOON,103.86540517002399,1.35140655423301
399942,CENTRAL REGION,GEYLANG,103.888108903018,1.30640703862528
528720,EAST REGION,TAMPINES,103.956552948013,1.3397244866528502
199554,CENTRAL REGION,KALLANG,103.86186558980101,1.30026689906653
399946,CENTRAL REGION,GEYLANG,103.88926430892599,1.3066268856349699
534073,NORTH EAST REGION,HOUGANG,103.881483192765,1.35286278249501
534071,NORTH EAST REGION,HOUGANG,103.882024975089,1.3529071959809598
